Headword,Definition,PoS,Source,Sequence
adulēscēns adulēscentis,"young, growing; young person",Adjective,Romulus and Remus II-III,4
albus –a –um,white,Adjective,Rubricuculla,1
alius alia aliud,"other, another",Adjective,Romulus and Remus II-III,4
alius alia aliud (archaic: alis alid),"other, another",Adjective,De brevibus spatiis,13
alter altera alterum,other of two,Adjective,Duae fabulae caninae,22
amīcus –a –um,friendly (+dat.),Adjective,Rubricuculla,1
angustus –a –um,narrow,Adjective,Pvgna mvrivm et mustelarvm,21
bonus –a –um,good,Adjective,Rubricuculla,1
brevis breve,"short, brief",Adjective,Rubricuculla,1
callidus –a –um,clever,Adjective,Mus et Rana,18
cārus –a –um,precious,Adjective,Rubricuculla,1
certus –a –um,"sure, fixed",Adjective,Testudines certantes,25
dexter dextra dextrum,"right, on the right side",Adjective,Monstrationes,9
fēlīx fēlīcis,fortunate,Adjective,Duo Mures,26
fortis forte,brave; strong,Adjective,Romulus and Remus II-III,4
geminus –a –um,twin,Adjective,Romulus and Remus,3
grātus –a –um,pleasant; grateful,Adjective,Rubricuculla,1
gravis grave,heavy,Adjective,Cornix et urna,20
īnferus –a –um,low,Adjective,Lupus et Agnus,17
laetus –a –um,happy,Adjective,Rubricuculla,1
lātus –a –um,"broad, wide",Adjective,Rubricuculla,1
lentus –a –um,slow,Adjective,Rubricuculla,1
longinquus –a –um,remote (in time or space),Adjective,De stellis errantibus,15
māgnus –a –um,great,Adjective,Rubricuculla,1
maior māius,"bigger, greater",Adjective,Irregular Comparatives,14
māximus –a –um,greatest,Adjective,Regiones XIV,5
melior melius,better,Adjective,Irregular Comparatives,14
meus –a –um,"my, mine",Adjective,Pronomina,5
minimus –a –um,"least, smallest",Adjective,Irregular Comparatives,14
minor minus,"lesser, smaller",Adjective,Irregular Comparatives,14
noster nostra nostrum,"our, ours",Adjective,Pronomina,5
nūllus –a –um,"not any, no",Adjective,Vulpes et Corvus,19
omnis omne,every; all,Adjective,Rubricuculla,1
optimus –a –um,"best, excellent",Adjective,Irregular Comparatives,14
parvus –a –um,small,Adjective,Rubricuculla,1
paucī -ae -a,(pl.) a few,Adjective,Rubricuculla,1
peior peius,worse,Adjective,Irregular Comparatives,14
pessimus –a –um,worst,Adjective,Irregular Comparatives,14
proximus –a –um,"nearest, next, (+dat.) next to",Adjective,Regiones XIV,5
pulcher pulchra pulchrum,beautiful,Adjective,Rubricuculla,1
ruber rubra rubrum,red,Adjective,Rubricuculla,1
sapiēns –ntis,wise,Adjective,Duae fabulae caninae,22
sinister –a –um,left,Adjective,Monstrationes,9
sōlus –a –um,"alone, only",Adjective,De anno Romano,11
stultus –a –um,foolish,Adjective,Duae fabulae caninae,22
summus –a –um,highest,Adjective,Regiones XIV,5
suus –a –um,his/her/its own,Adjective,In culina,8
tantus –a –um,so much,Adjective,Aliae fabulae de mure et leone,23
tuus –a –um,your,Adjective,Pronomina,5
ūllus –a –um,any,Adjective,Duo Mures,26
ultimus -a -um,"farthest, last",Adjective,De anno Romano II,12
vester vestra vestrum,your,Adjective,Pronomina,5
vetus veteris,old,Adjective,Rubricuculla,1
vīcīnus –a –um,neighboring,Adjective,Rubricuculla,1
aegrē,with difficulty,Adverb,Testudines certantes,25
celeriter,swiftly,Adverb,Rubricuculla,1
cotīdiē or cottīdiē or quotidiē,"every day, daily",Adverb,In pistrino Eurysacis,7
diū,for a long time,Adverb,Romulus and Remus II-III,4
eō,"there, in that place; for that reason",Adverb,Monstrationes,9
facile,easily,Adverb,Pvgna mvrivm et mustelarvm,21
fortasse or fortassis,perhaps,Adverb,Romulus and Remus,3
frūstrā,in vain,Adverb,Testudines certantes,25
hīc,here,Adverb,Monstrationes,9
hinc,"from here, hence",Adverb,Monstrationes,9
hūc,"to here, hither",Adverb,Monstrationes,9
ibī,there; then,Adverb,Rubricuculla,1
illīc or illī,there,Adverb,Monstrationes,9
illinc,from there,Adverb,Monstrationes,9
illūc,there,Adverb,Monstrationes,9
inde,"from there, from then",Adverb,Monstrationes,9
intereā,meanwhile,Adverb,Romulus and Remus II-III,4
interim,meanwhile,Adverb,Testudines certantes,25
itaque,"and so, therefore",Adverb,Rubricuculla,1
iūxtā,"near, close",Adverb,Rubricuculla,1
mox,soon,Adverb,Rubricuculla,1
noctū,by night,Adverb,De temporibus,10
nōnnumquam,sometimes,Adverb,De anno Romano,11
numquam,never,Adverb,De anno Romano,11
paene,almost,Adverb,Testudines certantes,25
paulisper,for a short while,Adverb,In culina,8
posteā,afterwards,Adverb,Romulus and Remus II-III,4
quam,"than; as, how",Adverb,De stellis errantibus,15
quidem,moreover,Adverb,Aliae fabulae de mure et leone,23
quō,(to) where?,Adverb,Rubricuculla,1
quōmodo,how,Adverb,Lupus et Agnus,17
quoque,also,Adverb,Rubricuculla,1
saepe,often,Adverb,Topographia,2
scīlicet,certainly,Adverb,De anno Romano II,12
semper,always,Adverb,Rubricuculla,1
simul,at the same time,Adverb,Romulus and Remus II-III,4
sōlum,only,Adverb,Regiones XIV,5
subitō,suddenly,Adverb,Duae fabulae caninae,22
tam,so,Adverb,De stellis errantibus,15
tum or tunc,"then, at that time",Adverb,Rubricuculla,1
ubī,"where, when",Adverb,Rubricuculla,1
unde,"from where, whence",Adverb,Monstrationes,9
vērō,"but in fact, really",Adverb,Topographia,2
–que,and,Conjunction,Rubricuculla,1
antequam,before,Conjunction,Romulus and Remus,3
atque,and,Conjunction,Rubricuculla,1
autem,however; moreover,Conjunction,Rubricuculla,1
dum,"while, until",Conjunction,In pistrino Eurysacis,7
ergō,therefore,Conjunction,Rubricuculla,1
et,and,Conjunction,Rubricuculla,1
neque or nec,and not,Conjunction,De anno Romano II,12
postquam,after,Conjunction,Romulus and Remus II-III,4
quamquam,although,Conjunction,Romulus and Remus II-III,4
sed,but,Conjunction,Rubricuculla,1
placet placere placuit,it is pleasing (+ dat. & inf.),Idiom,Auxiliary Verbs,16
vidētur vidērī vīsum est,it seems good (+ dat. & inf.),Idiom,Auxiliary Verbs,16
quaesō,please,Interjection,Rubricuculla,1
aedēs aedis f.,temple; (pl.) house,Noun,Regiones XIV,5
aedicula –ae f.,shrine,Noun,Regiones XIV,5
aestās aestātis f.,summer,Noun,De temporibus,10
agnus agnī m.,lamb (male),Noun,Lupus et Agnus,17
annus annī m.,year,Noun,Regiones XIV,5
anus anūs f.,old woman,Noun,Rubricuculla,1
arbor (or arbos) arboris f.,"tree, mast",Noun,Vulpes et Corvus,19
arma armōrum n.,"arms, weapons",Noun,Romulus and Remus II-III,4
asinus –ī m.,"ass, donkey",Noun,In pistrino Eurysacis,7
astrologus –ī m.,an astronomer,Noun,De anno Romano II,12
auris auris f.,ear,Noun,Rubricuculla,1
autumnus autumnī m.,fall,Noun,De temporibus,10
auxilium auxilī n.,"aid, help",Noun,Mus et Rana,18
avia aviae f.,grandmother,Noun,Rubricuculla,1
avus avī m.,grandfather,Noun,Romulus and Remus II-III,4
calathus –ī m.,wicker basket; workbasket,Noun,Rubricuculla,1
calor –ōris m.,warmth,Noun,De anno Romano,11
campus campī m.,plain,Noun,Rubricuculla,1
canis canis m. or f.,dog,Noun,Duae fabulae caninae,22
caput capitis n.,head,Noun,Topographia,2
carō carnis f.,"meat, flesh",Noun,Duae fabulae caninae,22
causa causae f.,"cause, reason",Noun,Romulus and Remus,3
cavum (cavus) –ī m.,cave,Noun,Romulus and Remus,3
cēna cēnae f.,dinner,Noun,Duo Mures,26
cibus cibī m.,food,Noun,Rubricuculla,1
circus –ī m.,racetrack,Noun,Regiones XIV,5
cīvis cīvis m. or f.,citizen,Noun,In pistrino Eurysacis,7
cōpia cōpiae f.,abundance; troops,Noun,Duo Mures,26
coquus (cocus) –ī m.,cook,Noun,In culina,8
cornīx –īcis f.,crow,Noun,Cornix et urna,20
cornū cornūs f.,horn,Noun,Pvgna mvrivm et mustelarvm,21
corpus corporis n.,body,Noun,Regiones XIV,5
corvus –ī m.,raven,Noun,Mus et Rana,18
cucullus –ī m.,hood,Noun,Rubricuculla,1
cupīdō cupidinis f.,"desire, craving",Noun,Romulus and Remus II-III,4
cūra cūrae f.,"care, concern",Noun,Rubricuculla,1
cursus cursūs m.,course,Noun,De anno Romano,11
dēns dentis m.,tooth,Noun,Rubricuculla,1
diēs diēī m. or f.,day,Noun,De temporibus,10
dolus dolī m.,"artifice, device, trick",Noun,Mus et Rana,18
domus domī f.,"house, home",Noun,Romulus and Remus II-III,4
dōnum dōnī n.,gift,Noun,Rubricuculla,1
dux ducis m. or f.,"leader, general",Noun,In rota Columbiana,6
famēs famis f.,"hunger, famine",Noun,Rubricuculla,1
farīna –ae f.,flour,Noun,In pistrino Eurysacis,7
fēmina fēminae f.,"woman, wife",Noun,Rubricuculla,1
fera ferae f.,wild animal,Noun,Romulus and Remus II-III,4
fēstum fēstī n.,festival,Noun,Romulus and Remus II-III,4
fīlia fīliae f.,daughter,Noun,Rubricuculla,1
fīnis fīnis m.,"end, boundary",Noun,Rubricuculla,1
flōs flōris m.,flower,Noun,Rubricuculla,1
flūmen flūminis n.,river,Noun,Topographia,2
frīgus frīgoris n.,cold,Noun,De anno Romano,11
frūmentum frūmentī n.,grain,Noun,In pistrino Eurysacis,7
fuga fugae f.,flight,Noun,Duo Mures,26
gaudium gaudiī n.,joy,Noun,Rubricuculla,1
gēns gentis f.,"family, clan",Noun,In culina,8
hebdomas –adis f.,"seventh day, week",Noun,De temporibus,10
hiems hiemis f.,winter,Noun,De temporibus,10
homō hominis m.,"human being, man",Noun,Rubricuculla,1
hōra hōrae f.,hour,Noun,In pistrino Eurysacis,7
horreum –ī n.,"barn, granary",Noun,Regiones XIV,5
hortus hortī m.,garden,Noun,Regiones XIV,5
hospes hospitis m.,guest; stranger; host,Noun,Duo Mures,26
hospitium hospiti(ī) n.,hospitality,Noun,Duo Mures,26
hostis hostis m.,enemy,Noun,Romulus and Remus II-III,4
iānua iānuae f.,door,Noun,Rubricuculla,1
imāgō imāginis f.,"image, echo",Noun,In rota Columbiana,6
imperātor imperātōris m.,commander,Noun,Regiones XIV,5
incola incolae m. or f.,inhabitant,Noun,In rota Columbiana,6
īnsula īnsulae f.,island,Noun,Topographia,2
iter itineris n.,journey,Noun,Rubricuculla,1
lac lactis n.,milk,Noun,Romulus and Remus,3
latrō latrōnis m.,robber,Noun,Romulus and Remus II-III,4
lectus lectī m.,"bed, couch",Noun,Rubricuculla,1
lignātor –ōris m.,a wood–cutter,Noun,Rubricuculla,1
lingua linguae f.,tongue; language,Noun,Duae fabulae caninae,22
locus locī m.,place,Noun,Romulus and Remus II-III,4
lupa lupae f.,she–wolf,Noun,Romulus and Remus,3
lupus lupī m.,wolf,Noun,Rubricuculla,1
magnitūdō magnitūdinis f.,"greatness, large size",Noun,Pvgna mvrivm et mustelarvm,21
manus manūs f.,hand; band of men,Noun,Monstrationes,9
māter mātris f.,mother,Noun,Rubricuculla,1
mēns mentis f.,mind,Noun,Rubricuculla,1
mēnsis mēnsis m.,month,Noun,Romulus and Remus,3
mercātor –ōris m.,"merchant, trader",Noun,De brevibus spatiis,13
merīdiēs merīdiēī m.,midday,Noun,De temporibus,10
modus modī m.,measure; manner,Noun,Cornix et urna,20
mola –ae f.,millstone,Noun,In pistrino Eurysacis,7
mōns montis m.,mountain,Noun,Topographia,2
monumentum monumentī n.,"memorial, monument",Noun,In rota Columbiana,6
mors mortis f.,death,Noun,Pvgna mvrivm et mustelarvm,21
mundus mundī m.,"world, universe",Noun,Topographia,2
mūs mūris m.,mouse,Noun,Pvgna mvrivm et mustelarvm,21
mūstēla (mūstella) –ae f.,a weasel,Noun,Pvgna mvrivm et mustelarvm,21
negōtium negōti(ī) n.,business,Noun,Regiones XIV,5
nēmō nēminis m. or f.,no one,Noun,Rubricuculla,1
nepōs nepōtis m.,grandchild; descendant,Noun,Rubricuculla,1
neptis –is f.,grand-daughter,Noun,Rubricuculla,1
nox noctis f.,night,Noun,De temporibus,10
nūndinae –ārum f.,"market-day, the ninth day, fair day",Noun,De brevibus spatiis,13
nūntius nūnti(ī) m.,messenger; news,Noun,De stellis errantibus,15
oculus oculī m.,eye,Noun,Rubricuculla,1
oppidum oppidī n.,town,Noun,Rubricuculla,1
orbis orbis m.,"circle, orb",Noun,De brevibus spatiis,13
ōrdō ōrdinis m.,"row, order",Noun,De anno Romano II,12
ōs ōris n.,"mouth, face",Noun,Vulpes et Corvus,19
pānis pānis m.,bread; (pl.) loaves,Noun,In pistrino Eurysacis,7
pāstor pāstōris m.,shepherd,Noun,Romulus and Remus II-III,4
pecus pecoris f.,"farm animals, herd",Noun,Romulus and Remus II-III,4
perīculum perīculī n.,danger,Noun,Pvgna mvrivm et mustelarvm,21
pēs pedis m.,foot,Noun,Rubricuculla,1
pīctūra –ae f.,"painting, picture",Noun,Rubricuculla,1
piscis piscis m.,fish,Noun,In culina,8
pistor ōris m,baker,Noun,In pistrino Eurysacis,7
pistrīnum –ī n.,bakery,Noun,In pistrino Eurysacis,7
poena poenae f.,punishment,Noun,Vulpes et Corvus,19
pontifex pontificis m.,priest,Noun,De anno Romano II,12
populus populī m.,people,Noun,Pvgna mvrivm et mustelarvm,21
porta portae f.,gate,Noun,Rubricuculla,1
porticus porticus f.,"covered walk, colonnade, portico",Noun,Regiones XIV,5
propior propius; proximus –a –um,nearer; nearest,Noun,De stellis errantibus,15
puella puellae f.,girl,Noun,Rubricuculla,1
puer puerī m.,boy,Noun,Romulus and Remus II-III,4
pugna pugnae f.,"battle, fight",Noun,Pvgna mvrivm et mustelarvm,21
regiō regiōnis f.,region,Noun,Regiones XIV,5
rēgnum rēgnī n.,"kingdom, rule",Noun,Romulus and Remus,3
rēs reī f.,"matter, affair, thing",Noun,Regiones XIV,5
rēx rēgis m.,king,Noun,Romulus and Remus,3
sacerdōs sacerdōtis m. or f.,"priest, priestess",Noun,Romulus and Remus,3
salūs salūtis f.,health,Noun,Pvgna mvrivm et mustelarvm,21
sēmita –ae f.,"lane, path",Noun,Rubricuculla,1
servus servī m.,slave,Noun,Romulus and Remus,3
silva silvae f.,forest,Noun,Rubricuculla,1
sinus sinūs m.,"fold, bend, curve",Noun,Topographia,2
socius –iī m.,"ally, comrade",Noun,Romulus and Remus II-III,4
spatium spati(ī) n.,space,Noun,De brevibus spatiis,13
stēlla stēllae f.,star,Noun,De brevibus spatiis,13
templum templī n.,temple,Noun,Regiones XIV,5
tempus temporis n.,time,Noun,De temporibus,10
thermae –ārum f.,bath complex,Noun,Regiones XIV,5
toga togae f.,toga,Noun,In pistrino Eurysacis,7
tunica tunicae f.,tunic,Noun,In pistrino Eurysacis,7
urbs urbis f.,city,Noun,Topographia,2
uxor uxōris f.,wife,Noun,Romulus and Remus II-III,4
vēr vēris n.,spring,Noun,De temporibus,10
vestīmentum –ī n.,"garment, clothes (pl.)",Noun,Rubricuculla,1
via viae f.,street,Noun,Rubricuculla,1
vīlla vīllae f.,"estate, country house",Noun,Rubricuculla,1
virgō virginis f.,unmarried woman,Noun,Romulus and Remus,3
vīs vis f.,"force, violence",Noun,Romulus and Remus,3
vīta vītae f.,life,Noun,Romulus and Remus II-III,4
vōx vōcis f.,voice,Noun,Rubricuculla,1
vulpēs –is f.,fox,Noun,Mus et Rana,18
tempora annī,seasons,Phrase,De temporibus,10
ā ab abs,"from, by",Preposition,Rubricuculla,1
ad,"to, up to, towards",Preposition,Rubricuculla,1
ante,"before, in front of (adv. and prep. +acc.)",Preposition,Lupus et Agnus,17
cum,with (prep. +abl.),Preposition,Rubricuculla,1
dē,"down from, about, concerning",Preposition,Rubricuculla,1
in,"in, on",Preposition,Rubricuculla,1
inter,"between, among",Preposition,Topographia,2
intrā,within,Preposition,Rubricuculla,1
per,through,Preposition,Rubricuculla,1
praeter,past (+acc.),Preposition,Topographia,2
prope,near (prep. + acc.),Preposition,Rubricuculla,1
propter,because of (+ acc.),Preposition,De anno Romano II,12
super,over (adv. and prep. +acc.),Preposition,Topographia,2
egō meī mihi mē mē,"I, me",Pronoun,Pronomina,5
hic haec hoc,"this, these",Pronoun,Regiones XIV,5
īdem eadem idem,same,Pronoun,De anno Romano II,12
ille illa illud,that,Pronoun,In rota Columbiana,6
ipse ipsa ipsum,"himself, herself, itself (intensive)",Pronoun,In culina,8
iste ista istud,"that (by you, of yours)",Pronoun,In rota Columbiana,6
nōs nostrum/nostrī nōbīs nōs nōbīs,we; us,Pronoun,Pronomina,5
quī quae quod,"who, which",Pronoun,Regiones XIV,5
quīdam quaedam quiddam,a certain person/thing,Pronoun,De anno Romano II,12
quis quid,"who, what",Pronoun,Regiones XIV,5
suī sibi sē sē,"himself, herself, itself (reflexive)",Pronoun,In culina,8
tū tuī tibi tē tē,you,Pronoun,Pronomina,5
vōs vestrum/vestrī vōbis vōs vōbīs,you (plural),Pronoun,Pronomina,5
abdūcō abdūcere abdūxī abductus,to lead/take away,Verb,Romulus and Remus,3
abeō abīre abiī abitum,to go away,Verb,Monstrationes,9
